"purchase_year","total_revenue","pay_method"
"2018","3579.90","Cash"
"2018","1869.90","Credit"
"2018","2469.90","Debit"
"2018","2979.90","Paypal"
"2019","3489.91","Cash"
"2019","1569.91","Credit"
"2019","1969.91","Debit"
"2019","2779.91","Paypal"
"2020","2779.92","Cash"
"2020","1579.92","Credit"
"2020","2179.92","Debit"
"2020","2179.92","Paypal"
"2021","2779.92","Cash"
"2021","1579.92","Credit"
"2021","2179.92","Debit"
"2021","2179.92","Paypal"
"2022","4169.88","Cash"
"2022","2369.88","Credit"
"2022","3269.88","Debit"
"2022","3269.88","Paypal"
"2023","2779.92","Cash"
"2023","1579.92","Credit"
"2023","2179.92","Debit"
"2023","2179.92","Paypal"
"2024","1389.96","Cash"
"2024","789.96","Credit"
"2024","1089.96","Debit"
"2024","1089.96","Paypal"
"2025","1389.96","Cash"
"2025","789.96","Credit"
"2025","1089.96","Debit"
"2025","1089.96","Paypal"
"2026","13329.64","Cash"
"2026","6889.63","Credit"
"2026","9209.64","Debit"
"2026","10099.63","Paypal"
